accession_new	accession_old	mag_id	source_fasta	needs_signalp	whole_proteome_role	source_sample_id	final_confidence
CU_CUST_000000306.1	CU_SAMN12239314_bin.27	SAMN12239314_bin.27	SAMN12239314_bin.27.fa	False	True	SAMN12239314	medium
CU_CUST_000000307.1	CU_SAMN12239314_bin.69	SAMN12239314_bin.69	SAMN12239314_bin.69.fa	False	True	SAMN12239314	medium
CU_CUST_000000308.1	CU_SAMN12330916_bin.6	SAMN12330916_bin.6	SAMN12330916_bin.6.fa	True	False	SAMN12330916	low
CU_CUST_000000309.1	CU_SAMN12330923_bin.37	SAMN12330923_bin.37	SAMN12330923_bin.37.fa	True	False	SAMN12330923	high
CU_CUST_000000310.1	CU_SAMN12330923_bin.7	SAMN12330923_bin.7	SAMN12330923_bin.7.fa	True	False	SAMN12330923	high
CU_CUST_000000311.1	CU_SAMN12330932_bin.24	SAMN12330932_bin.24	SAMN12330932_bin.24.fa	True	False	SAMN12330932	high
CU_CUST_000000312.1	CU_SAMN12330932_bin.32	SAMN12330932_bin.32	SAMN12330932_bin.32.fa	True	False	SAMN12330932	high
CU_CUST_000000313.1	CU_SAMN12330933_bin.1	SAMN12330933_bin.1	SAMN12330933_bin.1.fa	True	False	SAMN12330933	high
CU_CUST_000000314.1	CU_SAMN12330933_bin.21	SAMN12330933_bin.21	SAMN12330933_bin.21.fa	True	False	SAMN12330933	high
CU_CUST_000000315.1	CU_SAMN12330933_bin.25	SAMN12330933_bin.25	SAMN12330933_bin.25.fa	True	False	SAMN12330933	high
CU_CUST_000000316.1	CU_SAMN12330933_bin.30	SAMN12330933_bin.30	SAMN12330933_bin.30.fa	True	False	SAMN12330933	high
CU_CUST_000000317.1	CU_SAMN12330933_bin.46	SAMN12330933_bin.46	SAMN12330933_bin.46.fa	True	False	SAMN12330933	high
CU_CUST_000000318.1	CU_SAMN12330935_bin.17	SAMN12330935_bin.17	SAMN12330935_bin.17.fa	True	False	SAMN12330935	high
CU_CUST_000000319.1	CU_SAMN12330935_bin.20	SAMN12330935_bin.20	SAMN12330935_bin.20.fa	True	False	SAMN12330935	high
CU_CUST_000000320.1	CU_SAMN12330935_bin.25	SAMN12330935_bin.25	SAMN12330935_bin.25.fa	True	False	SAMN12330935	high
CU_CUST_000000321.1	CU_SAMN12330935_bin.27	SAMN12330935_bin.27	SAMN12330935_bin.27.fa	True	False	SAMN12330935	high
CU_CUST_000000322.1	CU_SAMN12349588_bin.20	SAMN12349588_bin.20	SAMN12349588_bin.20.fa	True	False	SAMN12349588	low
CU_CUST_000000323.1	CU_SAMN12673432_bin.6	SAMN12673432_bin.6	SAMN12673432_bin.6.fa	True	False	SAMN12673432	medium
CU_CUST_000000324.1	CU_SAMN12673457_bin.3	SAMN12673457_bin.3	SAMN12673457_bin.3.fa	True	False	SAMN12673457	medium
CU_CUST_000000325.1	CU_SAMN13702310_bin.6	SAMN13702310_bin.6	SAMN13702310_bin.6.fa	True	False	SAMN13702310	medium
CU_CUST_000000326.1	CU_SAMN13702313_bin.11	SAMN13702313_bin.11	SAMN13702313_bin.11.fa	True	False	SAMN13702313	medium
CU_CUST_000000327.1	CU_SAMN15738834_bin.23	SAMN15738834_bin.23	SAMN15738834_bin.23.fa	True	False	SAMN15738834	high
CU_CUST_000000328.1	CU_SY404RY-5(CNS0876646)_bin.39	SY404RY-5(CNS0876646)_bin.39	SY404RY-5(CNS0876646)_bin.39.fa	True	False	SY404RY-5(CNS0876646)	medium
CU_CUST_000000329.1	CU_SY404RY-8(CNS0876649)_bin.1	SY404RY-8(CNS0876649)_bin.1	SY404RY-8(CNS0876649)_bin.1.fa	True	True	SY404RY-8(CNS0876649)	none
CU_CUST_000000330.1	CU_SY404YG-2(CNS0876651)_bin.29	SY404YG-2(CNS0876651)_bin.29	SY404YG-2(CNS0876651)_bin.29.fa	True	False	SY404YG-2(CNS0876651)	medium
