sp_norm	ogt_tempura	tmin_measured	ogt_madin	ogt_toki	ogt_ogtfinder	ogt_ogtfinder_sources	ogt_n_sources	ogt_measured	ogt_spread
acidisoma sibiricum	22.5	2.0	20.0				2	21.25	2.5
acidisoma sp.					20.0	aciDB	1	20.0	0.0
acidisoma tundrae	18.5	2.0	20.0				2	19.25	1.5
acidisphaera rubrifaciens	32.5	20.0			32.5	aciDB	2	32.5	0.0
aciditerrimonas ferrireducens	50.0	35.0	50.0		50.0	ThermoBase;aciDB	3	50.0	0.0
acidithiobacillus albertensis					30.0	aciDB	1	30.0	0.0
acidithiobacillus caldus	45.0	32.0	43.0		45.0	Lyubetsky et al., 2020;ThermoBase;aciDB	3	44.333333333333336	2.0
acidithiobacillus ferrianus	29.0	20.0		29.0			2	29.0	0.0
acidithiobacillus ferridurans	29.0	10.0	29.0	29.0	29.0	aciDB	4	29.0	0.0
acidithiobacillus ferrivorans	29.5	4.0		29.5	25.25	aciDB	3	28.083333333333332	4.25
acidithiobacillus ferrooxidans	32.5	10.0	27.0	29.9558823529412	30.0	Lyubetsky et al., 2020;aciDB	4	29.8639705882353	5.5
acidithiobacillus marinus					30.0	aciDB	1	30.0	0.0
acidithiobacillus sp.			45.0				1	45.0	0.0
acidithiobacillus sulfuriphilus					26.5	aciDB	1	26.5	0.0
acidithiobacillus thiooxidans	29.0	10.0	27.0	27.9375	30.0	aciDB	4	28.484375	3.0
acidithrix ferrooxidans	22.5	10.0		22.5	25.0	aciDB	3	23.333333333333332	2.5
acidobacterium ailaaui	40.0	15.0					1	40.0	0.0
acidobacterium capsulatum					31.0	Lyubetsky et al., 2020;aciDB	1	31.0	0.0
acidocella aminolytica			33.0	32.3333333333333	31.0	aciDB	3	32.1111111111111	2.0
acidocella facilis			20.0	20.0	31.0	aciDB	3	23.666666666666668	11.0
acidocella sp.					6.29	aciDB	1	6.29	0.0
acidomonas methanolica					33.5	aciDB	1	33.5	0.0
acidothermus cellulolyticus	55.0	37.0	57.2	55.66666666666666	55.0	Lyubetsky et al., 2020;ThermoBase;aciDB	4	55.71666666666667	2.200000000000003
acidovorax anthurii			29.0				1	29.0	0.0
acidovorax avenae			26.5				1	26.5	0.0
acidovorax carolinensis	31.25	4.0		31.25			2	31.25	0.0
acidovorax cattleyae			27.0				1	27.0	0.0
acidovorax delafieldii			26.5	29.0			2	27.75	2.5
acidovorax facilis			29.0				1	29.0	0.0
acidovorax oryzae			26.0				1	26.0	0.0
acidovorax radicis					30.0	BacDive	1	30.0	0.0
acidovorax soli					30.0	BacDive	1	30.0	0.0
acidovorax sp.			29.0		6.29	aciDB	2	17.645	22.71
acidovorax valerianellae			27.0				1	27.0	0.0
acidovorax wautersii			29.0				1	29.0	0.0
aciduliprofundum boonei	70.0	55.0	70.0	70.0	70.0	ThermoBase;aciDB	4	70.0	0.0
aciduliprofundum sp.					65.0	ThermoBase	1	65.0	0.0
aciduliprofundum sp000327505				70.0			1	70.0	0.0
acinetobacter baumannii			33.5	34.863			2	34.1815	1.3629999999999995
acinetobacter baylyi			31.0				1	31.0	0.0
acinetobacter beijerinckii			29.0	31.0	31.0	BacDive	3	30.333333333333332	2.0
acinetobacter bereziniae			29.0				1	29.0	0.0
acinetobacter brisouii			29.0				1	29.0	0.0
acinetobacter calcoaceticus			33.0	29.5			2	31.25	3.5
acinetobacter genospecies			32.0				1	32.0	0.0
acinetobacter glutaminasificans			26.0				1	26.0	0.0
acinetobacter guillouiae				38.0			1	38.0	0.0
acinetobacter gyllenbergii			34.0	30.5	31.0	BacDive	3	31.833333333333332	3.5
acinetobacter haemolyticus			31.0				1	31.0	0.0
acinetobacter harbinensis				20.0			1	20.0	0.0
acinetobacter indicus			31.0		28.0	BacDive	2	29.5	3.0
acinetobacter johnsonii			29.0		22.5	Lyubetsky et al., 2020	2	25.75	6.5
acinetobacter junii				29.3333333333333			1	29.3333333333333	0.0
acinetobacter kookii			35.0				1	35.0	0.0
acinetobacter larvae	32.5	10.0		32.5			2	32.5	0.0
acinetobacter nectaris				27.5			1	27.5	0.0
acinetobacter piscicola	26.5	4.0		26.5			2	26.5	0.0
acinetobacter pittii			29.0				1	29.0	0.0
acinetobacter puyangensis				29.0			1	29.0	0.0
acinetobacter radioresistens			29.0	29.0			2	29.0	0.0
acinetobacter refrigeratoris	29.0	10.0					1	29.0	0.0
acinetobacter rudis				23.5			1	23.5	0.0
acinetobacter schindleri			29.0				1	29.0	0.0
acinetobacter seifertii			34.0				1	34.0	0.0
acinetobacter soli			29.0				1	29.0	0.0
acinetobacter sp.			32.0				1	32.0	0.0
acinetobacter venetianus			29.0	30.75	33.5	BacDive	3	31.083333333333332	4.5
acrocarpospora corrugata			27.0				1	27.0	0.0
actibacterium mucosum				26.0			1	26.0	0.0
actinoallomurus acaciae	29.0	12.0					1	29.0	0.0
